Interations: 1000 Size: 512
Legends: a: Alive cell, d: Dead cell.
Initial Matrix:
a| d| a| a| a| a| d| d| a| a| d| a| d| a| a| d| d| d| d| d| a| d| a| a| d| d| d| a| a| a| a| d| d| d| a| a| a| d| a| d| a| a| a| a| d| a| d| d| a| d| a| d| a| d| d| a| d| d| d| a| a| a| d| a| d| a| d| a| a| a| d| a| d| a| d| a| d| d| a| d| a| d| d| d| d| d| a| a| d| a| d| d| d| d| a| d| d| d| d| a| a| d| d| d| a| a| a| d| a| d| d| d| a| d| d| a| a| a| d| a| d| a| a| a| a| a| a| a| a| a| a| d| a| a| d| a| d| a| a| d| d| a| d| a| a| a| d| d| d| a| d| a| d| a| d| a| d| a| a| a| a| d| d| d| a| d| a| d| d| d| d| d| a| d| a| a| a| a| a| d| d| a| a| d| a| a| d| a| d| a| a| a| a| a| d| d| a| a| d| a| d| d| a| a| a| d| d| d| d| d| d| d| a| a| a| d| d| a| d| a| d| a| d| a| d| d| a| a| d| d| a| d| d| d| a| a| a| d| d| a| d| d| a| a| d| d| d| d| a| d| a| a| a| d| d| a| d| d| d| d| d| a| d| d| d| d| d| a| d| d| d| d| d| a| a| d| d| a| a| a| a| d| a| d| d| a| a| a| a| d| a| a| a| d| d| a| d| d| d| d| d| d| d| d| d| a| a| d| a| d| a| d| d| d| a| a| d| d| d| a| d| a| a| d| a| a| a| a| a| d| a| a| d| a| a| d| a| d| d| d| d| d| d| a| d| a| d| d| d| d| d| d| a| a| d| a| d| d| d| a| d| d| d| d| a| a| a| d| d| a| d| d| a| a| a| d| d| a| d| d| a| d| a| a| a| a| d| a| a| d| d| a| d| d| d| d| d| a| d| d| d| a| d| d| d| d| d| d| a| d| a| a| a| d| d| d| a| d| d| a| d| d| d| a| a| d| a| a| a| a| a| d| d| a| d| d| a| d| a| a| d| d| d| a| d| d| d| a| d| d| d| d| d| a| a| a| a| d| d| a| d| a| a| d| a| a| a| d| a| d| a| a| d| a| a| d| a| a| a| a| a| d| d| a| a| a| a| d| d| a| a| d| a| d| d| d| a| a| d| d| a| d| d| a| a| a| a| a| d| a| d| a| 
d| a| a| d| a| a| d| a| a| a| a| a| d| d| a| a| d| a| a| d| d| a| a| a| a| d| d| a| a| a| d| a| d| a| d| a| d| d| d| d| a| d| a| a| d| a| a| d| d| d| a| a| d| d| d| a| d| d| d| a| a| d| a| a| d| a| d| d| a| a| d| d| a| d| a| a| a| d| d| a| a| a| d| a| a| d| d| a| a| d| d| d| a| a| d| a| d| d| a| a| a| d| a| d| d| a| d| a| a| d| d| d| a| a| a| d| a| a| a| d| d| a| a| a| a| a| d| a| a| a| a| a| a| d| a| a| a| a| d| a| a| a| a| d| d| a| d| a| d| a| d| d| a| a| a| d| d| a| a| a| a| d| d| d| a| d| d| d| a| d| a| a| a| a| a| a| d| d| a| d| a| a| a| d| d| d| d| d| d| d| a| a| d| d| a| a| d| a| d| a| d| a| d| a| d| d| a| d| d| d| a| a| a| d| d| a| d| d| a| d| d| d| a| a| d| a| d| d| d| d| d| d| d| d| d| d| d| a| a| d| a| d| d| d| d| d| a| d| d| d| a| a| d| d| d| a| a| d| a| d| a| a| d| a| d| d| a| d| a| d| a| d| d| a| d| d| a| a| a| a| a| d| d| d| d| d| a| d| a| d| d| d| d| d| a| d| a| d| d| d| a| a| a| a| d| a| d| a| a| a| a| d| a| a| d| a| d| a| a| a| d| a| a| d| d| d| d| a| d| d| a| a| d| d| a| d| d| a| d| a| d| a| a| a| d| d| d| d| a| d| a| a| a| d| a| a| d| a| d| a| d| d| d| d| d| a| d| d| d| d| a| d| a| a| a| d| a| d| d| d| d| d| d| a| d| a| a| a| a| a| d| a| a| d| a| d| d| a| d| d| d| d| a| a| a| d| a| d| d| d| d| d| d| d| d| d| d| a| a| a| d| a| d| d| d| a| d| d| d| d| d| d| d| a| d| a| d| a| a| d| a| d| a| a| d| a| d| d| d| a| a| d| a| a| d| a| d| d| a| a| a| a| a| a| a| a| a| a| a| d| a| d| d| d| d| a| a| d| a| a| a| a| d| d| d| d| a| a| a| d| d| d| d| a| a| a| a| d| d| d| a| a| d| a| d| d| d| a| d| d| a| d| 
a| a| d| a| a| d| d| d| d| d| d| d| d| d| a| a| d| a| a| a| a| a| a| a| d| a| d| d| a| a| d| d| d| a| d| d| a| d| d| a| a| a| d| a| a| a| d| a| a| a| a| d| d| d| a| d| a| a| a| a| a| a| a| a| d| a| a| a| d| d| a| a| a| a| d| d| d| d| a| a| a| d| a| a| d| d| d| d| d| a| a| a| d| d| d| a| d| d| d| d| d| a| a| a| d| a| a| a| a| d| d| d| a| d| a| a| d| a| a| d| d| d| a| a| a| d| d| a| d| d| a| d| d| d| a| d| a| d| a| d| d| d| d| a| d| a| a| d| a| d| a| a| a| d| d| d| d| d| a| d| a| d| d| a| d| a| a| a| a| a| a| d| a| a| a| a| d| d| a| a| a| d| a| d| a| a| d| a| d| a| d| a| a| d| d| a| d| a| d| a| d| a| a| a| d| a| d| d| a| d| d| d| d| a| d| a| d| d| a| d| a| a| a| d| a| a| a| a| a| a| a| a| d| d| a| d| a| a| a| a| a| a| a| d| d| d| a| d| d| d| a| d| a| d| d| a| d| d| d| a| a| a| d| d| d| a| d| a| a| a| d| d| d| d| d| d| d| d| a| d| d| d| d| d| d| a| a| d| a| a| a| d| a| d| d| a| a| a| d| d| d| a| a| a| a| a| a| a| a| d| a| d| d| d| d| a| a| a| a| d| d| a| d| a| a| a| d| d| d| a| a| d| d| d| a| a| a| a| d| a| a| a| a| d| a| a| a| d| d| d| d| d| a| a| d| d| d| d| a| d| a| d| d| a| d| d| d| a| a| d| d| d| d| a| d| a| d| a| d| d| d| d| a| a| a| a| d| a| a| a| a| a| a| d| d| a| d| a| d| a| a| a| a| a| d| d| a| a| a| a| a| a| a| d| a| a| a| a| d| a| d| d| d| a| d| d| d| d| a| d| a| a| a| d| d| d| d| a| a| d| d| d| a| d| a| d| a| d| a| a| a| a| a| a| d| a| d| d| a| a| a| d| d| d| a| a| d| a| d| a| a| a| d| a| a| a| a| d| a| a| a| a| d| a| d| a| d| d| a| d| d| d| d| d| a| a| a| a| a| d| a| d| a| a| a| d| d| a| d| a| d| a| 
d| d| d| a| a| a| a| a| a| a| a| a| d| d| a| a| d| d| a| a| d| d| d| d| d| d| a| d| a| a| d| d| a| d| a| a| a| d| d| d| d| a| d| d| d| a| a| d| a| a| a| a| a| a| a| d| a| d| d| d| a| d| d| a| a| a| d| d| d| d| a| d| a| a| d| a| d| a| a| a| d| d| d| d| a| d| d| d| d| d| a| d| a| a| a| d| a| a| d| a| a| a| a| d| d| a| d| d| d| a| a| a| d| d| a| a| d| a| d| d| a| a| d| d| d| a| d| a| d| a| d| a| d| a| d| a| d| d| a| a| a| a| d| a| a| a| a| a| d| a| a| a| d| d| d| d| a| d| d| d| a| d| a| d| d| a| a| d| a| d| a| a| a| a| d| d| d| a| a| d| d| a| d| d| a| d| a| d| d| a| d| d| a| d| d| a| a| a| d| a| a| a| d| a| a| d| a| a| d| a| d| d| d| d| a| a| d| d| a| d| a| d| d| d| d| d| d| a| a| d| d| a| a| d| d| d| a| a| d| a| d| d| a| d| d| d| a| d| d| a| d| a| a| a| d| a| a| d| d| a| d| a| d| a| a| d| d| d| a| d| a| d| d| a| d| d| a| d| d| d| a| d| a| d| a| a| a| a| a| a| d| a| d| d| a| d| d| a| d| a| a| d| a| a| a| d| a| d| d| a| d| a| a| d| a| a| a| d| d| a| a| d| d| d| d| a| d| d| d| d| a| a| d| a| d| a| a| a| d| a| d| d| d| d| d| a| a| d| a| a| a| d| a| a| d| a| a| d| a| a| a| d| a| a| a| a| a| d| a| a| a| a| a| a| a| d| d| d| d| a| a| a| d| d| d| d| a| a| a| d| a| d| a| d| a| d| a| d| a| d| a| d| d| a| d| a| a| d| d| a| d| a| d| d| d| d| d| a| d| a| d| a| a| a| a| a| a| d| a| d| a| a| a| a| d| a| d| a| a| d| d| a| d| d| a| d| d| d| a| d| a| a| a| a| d| d| d| d| a| a| d| d| d| a| a| d| d| a| a| d| d| a| a| d| a| a| d| d| a| a| d| d| a| d| a| a| d| a| a| a| a| d| a| a| a| d| d| d| d| a| d| d| a| a| d| d| d| d| d| a| a| a| 
d| d| a| a| d| a| a| a| a| d| a| d| a| a| a| a| a| a| a| a| a| d| d| a| d| a| a| a| d| d| d| d| a| a| d| a| d| a| d| a| a| d| d| d| a| a| d| d| d| a| a| a| a| a| d| a| d| a| d| a| a| d| a| d| a| a| a| d| d| d| a| a| d| a| d| a| d| d| a| d| a| d| a| d| a| a| a| d| d| d| a| d| d| d| d| d| d| d| d| d| d| a| d| d| a| d| a| a| d| d| d| a| d| a| a| a| a| d| a| a| d| d| a| a| a| d| a| a| d| a| a| d| d| a| d| a| a| a| a| a| a| a| d| a| d| a| d| a| d| d| a| d| d| d| a| a| d| d| d| d| a| d| d| d| a| d| a| a| a| d| d| d| a| a| a| d| d| d| a| d| d| d| a| d| a| d| d| a| a| d| d| d| d| d| d| d| a| d| a| d| d| a| a| d| d| d| d| a| d| a| a| d| d| d| a| a| a| a| d| d| a| d| d| d| a| a| d| d| a| a| d| a| d| a| a| a| d| a| d| d| a| a| a| a| d| d| d| a| a| d| a| d| a| a| d| d| d| d| d| a| a| d| a| d| d| d| a| d| d| a| d| a| d| a| d| d| a| d| a| d| d| d| a| a| d| a| a| d| d| a| d| a| d| a| a| d| a| d| d| a| a| d| d| d| d| d| d| a| d| d| d| a| d| a| d| d| d| d| a| d| a| a| d| a| d| a| a| a| d| a| a| a| d| a| a| d| d| d| a| d| d| a| a| d| d| d| a| a| d| d| a| a| a| a| a| a| a| d| d| a| d| a| d| d| a| d| d| a| d| a| a| d| a| a| d| a| a| a| d| a| a| d| d| d| a| a| a| d| d| d| a| d| a| d| d| d| d| d| a| d| a| a| d| d| d| d| d| a| d| d| d| a| d| d| d| d| d| a| d| d| a| d| d| a| d| d| a| d| d| a| d| a| d| d| d| d| d| d| a| d| d| a| d| a| a| d| a| a| a| a| a| a| a| a| d| a| a| a| a| a| d| a| a| d| a| a| d| d| a| a| d| a| d| d| d| d| d| a| a| d| a| a| a| d| d| a| d| d| d| a| a| a| a| d| a| d| a| d| d| d| a| a| d| d| a| d| d| d| d| a| d| a| 
d| a| a| a| d| a| a| d| a| d| a| d| a| a| d| d| a| a| a| d| d| a| d| a| a| d| a| a| d| a| d| d| d| d| a| d| a| d| a| d| a| d| d| d| a| a| d| d| d| a| a| d| d| a| a| d| d| a| a| d| d| d| d| a| d| d| a| a| d| d| d| a| a| d| a| d| a| d| a| a| a| d| a| d| a| a| d| a| d| a| a| d| a| d| a| a| d| a| a| d| a| a| d| d| a| a| a| a| a| d| d| a| d| d| a| a| a| a| a| a| d| d| a| d| d| a| a| d| d| d| a| a| a| a| d| a| d| a| d| d| a| d| a| a| d| d| d| a| a| a| d| a| d| d| a| d| a| a| a| a| a| d| d| a| a| d| d| a| a| d| a| d| d| d| a| a| d| d| d| a| a| a| a| a| a| d| d| d| a| a| a| a| a| a| d| d| d| d| a| a| d| a| d| d| a| a| a| d| a| d| a| a| a| d| d| d| a| d| d| d| a| a| a| d| d| a| d| d| a| d| d| a| a| d| d| d| a| a| d| a| a| d| d| d| d| d| d| a| a| d| d| d| a| a| a| d| a| a| d| d| a| d| d| d| d| d| a| d| a| a| a| a| a| a| a| d| a| d| a| d| d| a| a| d| a| d| d| d| a| d| d| a| a| d| a| a| d| d| a| d| d| d| a| a| a| d| a| a| d| a| a| a| d| d| a| a| d| a| a| d| a| d| a| d| d| d| d| a| a| a| a| a| d| d| d| a| d| d| d| a| a| d| d| a| d| a| a| a| d| d| a| a| d| d| d| a| d| d| d| a| a| a| d| a| a| a| a| a| a| a| d| d| a| d| a| d| a| d| a| a| a| d| a| a| d| a| d| d| a| d| d| d| a| d| d| d| a| a| d| d| d| d| d| d| a| d| d| d| d| a| d| a| a| a| a| a| d| a| a| a| d| a| a| a| d| a| d| a| d| d| d| a| d| d| a| a| d| a| d| a| d| d| d| a| a| a| d| a| a| a| d| a| a| a| d| a| a| d| d| a| d| d| d| a| a| a| d| a| d| d| d| d| d| a| a| a| d| a| d| a| a| d| d| d| d| a| a| a| a| a| d| d| d| a| a| a| d| a| d| a| d| a| a| d| d| a| d| d| d| d| d| a| 
a| d| a| a| a| d| d| a| d| d| a| d| a| d| a| d| a| a| a| a| d| d| d| d| a| d| a| d| d| a| a| a| a| a| d| a| a| d| d| a| a| a| a| d| a| d| d| d| d| a| d| d| d| d| a| a| d| d| a| d| a| a| d| d| d| d| a| a| a| a| a| d| d| d| d| a| a| a| d| a| d| d| a| d| d| d| d| d| d| a| d| a| d| d| d| d| a| a| d| d| a| a| d| a| a| d| a| d| a| a| a| d| a| a| d| a| a| d| a| d| d| a| a| d| d| a| a| a| a| a| a| d| d| a| a| a| a| d| d| a| a| a| a| d| d| a| a| d| d| d| d| d| d| a| d| d| a| a| a| d| d| d| d| d| a| a| d| d| d| d| a| a| a| d| d| d| d| a| d| d| d| d| d| d| a| d| d| d| d| a| d| d| a| d| a| d| d| a| d| d| a| d| a| d| d| a| d| d| a| d| d| a| d| d| a| d| a| a| d| a| d| a| a| a| a| d| a| a| a| a| a| d| a| a| a| d| d| a| d| a| d| a| d| d| a| a| d| d| d| a| a| d| d| a| a| a| a| d| a| a| d| d| a| a| a| d| a| d| d| d| a| d| a| d| d| d| a| a| a| d| d| d| d| d| a| d| a| a| d| d| d| d| a| a| d| d| d| a| d| d| a| d| d| d| d| d| a| a| a| d| a| a| d| d| a| d| d| a| a| d| a| a| a| d| d| a| a| d| d| a| d| d| a| d| d| a| a| a| a| d| a| d| d| d| d| a| d| d| d| a| a| d| d| d| d| d| a| a| a| a| a| a| a| d| d| d| d| a| a| a| a| a| a| a| a| d| a| a| d| a| d| a| a| d| a| d| d| d| a| a| d| d| a| a| a| a| a| a| d| a| d| a| d| a| a| a| a| d| d| d| a| d| a| a| d| a| a| d| a| d| d| a| a| a| a| d| d| d| a| d| a| a| a| a| d| d| d| d| d| d| d| d| d| a| a| d| d| d| a| d| d| a| a| a| d| d| a| d| a| d| d| d| a| a| d| d| d| d| d| d| a| d| d| a| a| a| d| d| a| a| d| d| d| a| a| d| d| a| d| a| a| d| a| a| a| a| a| a| d| a| d| a| a| d| d| d| d| d| d| a| a| d| 
a| a| d| a| a| d| d| a| a| a| a| d| d| a| d| a| d| d| d| d| a| a| a| a| d| a| d| d| d| a| a| d| a| a| a| d| a| a| d| d| d| a| d| a| d| d| d| a| d| a| a| a| d| d| a| d| a| a| a| d| d| d| d| a| a| a| d| d| d| d| d| d| a| d| a| d| a| d| a| a| a| d| a| a| a| d| d| d| a| a| d| a| a| d| a| d| a| a| d| a| a| d| d| d| d| a| d| a| a| a| a| d| d| d| d| a| d| d| a| a| a| d| d| d| d| a| d| d| d| d| a| a| d| a| d| d| a| d| d| d| d| a| a| d| a| a| a| a| a| d| d| d| d| d| d| a| d| d| a| d| d| d| d| d| d| d| d| a| d| d| a| d| a| d| d| d| a| a| a| d| d| a| d| d| d| d| a| d| d| d| d| d| a| d| d| a| d| a| d| a| a| a| a| a| d| d| a| a| a| a| d| a| d| d| d| d| a| a| d| a| d| a| d| a| a| d| d| d| a| d| a| a| a| d| d| a| d| a| a| d| d| a| a| a| a| a| a| d| a| d| d| a| a| d| d| d| d| d| d| d| d| a| a| a| d| a| a| d| d| d| d| a| a| d| d| d| a| a| a| d| a| a| a| d| a| a| a| a| a| a| a| a| a| d| a| a| a| d| a| d| d| d| a| a| d| a| a| a| d| d| d| d| a| a| d| d| a| a| d| d| a| a| d| d| d| a| a| a| a| d| a| a| d| d| d| d| a| a| d| d| d| d| d| a| a| d| d| d| d| d| a| a| a| a| a| a| d| d| a| a| d| d| d| a| a| d| a| d| a| a| d| a| a| d| a| a| a| a| a| a| a| d| d| d| a| a| d| a| a| a| d| a| a| d| d| d| d| d| a| d| a| a| a| a| d| d| d| a| a| a| d| d| d| d| a| a| a| a| a| d| d| a| a| a| d| d| d| d| d| a| d| a| d| d| d| d| d| d| a| d| d| a| d| d| a| a| a| d| d| d| d| d| d| d| d| d| d| d| d| d| a| a| a| a| a| d| d| a| d| a| a| d| a| d| d| d| a| d| a| d| d| a| d| d| a| d| d| a| d| a| a| a| d| a| a| a| a| a| d| a| d| d| d| a| d| d| d| a| d| a| a| a| 
d| d| a| d| d| d| a| a| a| a| d| a| d| a| d| a| d| d| d| a| d| d| d| d| a| d| d| a| a| a| d| d| a| d| d| d| d| a| a| a| d| a| d| d| a| d| a| a| d| d| d| a| d| a| a| a| a| a| a| a| a| a| a| d| a| a| d| a| d| a| d| a| a| d| a| d| d| a| a| a| a| d| d| a| a| a| a| d| a| d| a| d| a| d| d| a| a| a| d| d| d| a| a| a| a| d| a| d| a| a| a| d| a| a| d| d| d| a| d| a| a| d| a| d| d| d| a| d| a| d| d| a| a| a| a| d| a| d| d| a| a| a| a| d| d| a| d| a| d| a| d| a| a| d| d| a| d| a| a| a| a| a| d| d| d| a| a| d| d| a| a| a| a| d| d| a| d| d| d| d| a| a| d| d| a| d| d| a| a| a| d| a| a| d| a| a| d| d| a| d| d| d| a| a| a| a| d| a| d| a| a| a| d| a| d| a| a| d| d| a| a| d| d| d| d| a| d| d| d| a| d| d| d| d| a| a| a| a| d| a| d| a| a| d| a| a| a| d| a| a| a| d| a| a| a| d| a| a| d| a| d| a| a| d| a| d| a| d| a| a| d| d| a| a| d| d| d| d| d| a| a| d| a| a| a| d| a| d| a| a| a| d| d| d| d| a| d| d| d| d| a| d| d| d| a| d| d| a| d| a| d| d| a| a| a| d| d| d| a| a| a| d| a| d| a| d| a| a| d| a| a| a| a| a| d| d| d| d| a| d| a| a| d| d| a| a| a| a| a| d| d| a| d| d| a| a| d| d| a| d| d| d| a| a| d| a| d| d| d| a| d| a| a| a| d| d| d| a| a| d| a| a| a| a| a| d| a| a| d| d| a| d| d| a| d| d| d| d| d| d| a| a| d| d| d| d| d| d| a| a| d| d| a| a| a| d| a| d| d| d| d| a| d| a| d| d| a| a| d| d| a| d| a| a| d| a| a| a| a| d| d| d| d| a| a| d| d| a| d| d| a| a| a| a| d| d| d| a| a| d| a| d| d| d| d| a| a| a| d| a| d| d| a| d| d| d| d| d| a| a| d| d| d| a| d| d| a| d| a| d| d| a| a| a| a| a| d| a| d| d| d| d| d| a| a| d| a| a| d| a| d| d| 
a| d| d| a| d| a| a| d| d| d| a| a| a| d| d| a| a| d| a| a| a| a| d| d| d| d| a| d| a| d| a| d| d| a| d| a| d| a| a| d| a| d| a| d| d| a| a| d| d| d| a| a| d| d| a| d| d| d| d| a| d| a| a| a| d| a| d| a| a| a| a| d| a| a| a| a| d| d| a| d| a| a| a| a| a| d| a| a| a| a| d| a| a| a| d| a| a| d| d| d| a| d| d| d| a| a| d| a| d| a| d| a| d| a| d| a| d| a| d| a| d| d| d| a| d| a| a| a| a| a| a| a| a| a| a| d| a| a| d| a| a| d| d| a| a| d| a| a| a| a| d| a| d| a| a| d| d| d| a| a| a| d| d| a| a| d| a| d| a| a| a| d| a| a| d| a| a| a| d| d| d| a| d| d| d| a| d| d| a| a| a| d| a| d| a| a| d| a| a| a| d| a| d| d| d| d| a| d| a| a| d| a| d| d| d| d| a| d| d| d| d| d| a| a| d| d| d| d| a| d| a| d| a| a| d| a| a| a| a| d| d| d| d| a| d| d| a| d| d| d| d| d| d| a| d| d| d| d| d| a| d| a| a| a| a| a| a| d| d| d| a| a| d| a| d| a| a| a| a| a| a| a| d| a| a| d| a| a| d| a| d| a| a| d| d| d| a| a| d| d| d| a| a| d| d| a| a| a| d| d| a| d| d| a| a| a| a| a| d| a| d| d| d| a| d| a| a| d| d| d| d| d| a| a| a| d| d| d| a| d| a| d| d| a| a| d| d| d| a| d| d| a| d| d| a| a| a| d| a| d| d| a| d| d| d| a| d| d| d| a| d| a| d| a| d| a| a| d| d| d| d| d| a| d| d| d| a| d| a| d| d| a| a| d| a| a| d| a| a| d| a| d| a| a| a| a| d| d| a| d| d| a| d| a| a| a| d| a| a| a| a| a| d| a| a| d| d| a| a| d| a| d| d| d| a| a| a| d| a| d| d| a| a| a| d| a| d| d| d| a| a| a| d| d| d| a| d| a| a| a| a| d| d| a| a| a| d| d| a| a| a| d| d| d| a| d| a| a| a| a| d| d| a| d| d| a| a| d| d| d| d| a| a| d| d| d| a| d| d| a| a| a| a| a| d| d| d| a| a| a| a| a| 
a| d| a| d| a| d| d| d| a| d| a| d| d| d| d| d| d| d| a| d| d| d| a| d| d| a| a| a| d| d| d| d| d| a| d| d| a| d| d| d| a| a| d| a| a| d| a| d| a| d| d| a| d| a| a| d| a| d| a| a| a| a| a| a| d| a| a| d| d| a| d| a| a| a| d| d| a| d| d| d| d| d| a| a| d| d| a| a| a| a| d| d| d| d| a| a| a| a| a| a| d| a| d| a| d| a| d| d| a| d| d| a| a| d| d| a| d| d| d| a| a| d| a| a| d| a| d| d| d| a| a| d| a| d| d| a| a| d| a| d| d| d| a| a| d| d| d| d| d| d| d| a| a| a| d| a| d| a| a| d| d| a| a| a| a| a| a| d| a| d| d| a| d| a| a| d| a| a| a| a| d| a| d| a| d| a| d| a| d| d| a| d| a| d| d| d| a| a| d| d| a| d| d| d| a| a| d| a| d| a| d| d| d| a| a| a| d| d| d| d| d| a| d| a| d| d| a| a| a| a| d| a| a| d| a| d| a| a| a| a| a| d| d| a| a| a| d| a| a| d| a| a| d| a| d| d| d| a| a| a| d| a| d| a| a| a| d| d| a| a| d| d| a| d| a| d| a| d| a| a| d| d| d| d| d| a| d| d| d| d| a| a| a| d| d| a| a| d| a| d| d| a| d| a| a| d| d| a| d| a| d| d| d| d| a| d| a| a| d| d| a| a| a| a| a| a| d| a| d| a| a| d| a| d| a| d| d| a| a| d| a| a| d| a| d| a| a| a| a| a| a| d| d| d| a| d| d| a| a| d| a| d| d| d| d| a| d| d| a| d| d| d| a| a| a| a| d| d| a| a| a| d| d| a| a| a| a| a| a| d| a| d| a| a| d| a| d| d| d| a| d| d| a| d| a| d| a| d| d| d| a| a| a| a| a| d| a| d| a| d| a| d| d| d| a| d| a| a| d| a| a| a| d| d| a| a| a| d| a| a| a| a| a| d| d| d| d| a| d| a| a| a| a| a| a| d| a| a| a| d| d| d| a| d| a| d| d| d| d| a| a| a| d| d| a| a| d| a| d| a| d| d| d| a| a| d| a| a| a| a| a| a| a| d| d| d| d| d| d| d| a| d| d| d| d| a| a| a| a| a| d| a| 
a| d| a| a| d| d| d| a| a| a| a| a| a| a| a| a| a| d| a| d| d| a| d| d| a| a| a| d| a| a| a| d| d| d| a| d| a| a| d| d| d| a| a| a| d| a| d| a| a| d| a| a| a| d| a| d| a| a| d| d| d| d| a| d| d| d| a| a| d| a| d| d| d| a| d| d| d| d| a| a| d| d| d| d| d| d| d| d| a| a| d| a| a| a| d| a| d| a| a| d| d| a| d| d| d| d| d| a| a| a| d| a| a| a| a| d| a| d| d| d| a| d| a| d| d| a| a| d| d| d| d| d| a| d| d| d| a| d| a| d| a| a| a| a| d| a| a| a| a| a| a| d| a| a| d| a| d| a| a| a| d| a| a| a| d| d| a| a| d| d| a| d| d| d| a| d| a| d| d| d| a| a| d| d| d| d| d| a| d| a| d| d| a| a| a| a| a| a| d| d| a| a| d| a| a| a| d| a| a| d| a| d| a| d| d| d| d| d| a| d| d| a| d| a| d| d| d| d| a| d| d| d| a| d| d| d| a| d| a| d| d| a| d| a| a| d| a| a| a| d| d| a| a| d| d| d| d| d| d| a| d| d| d| a| d| d| a| a| d| a| a| d| d| a| a| a| a| a| d| d| a| d| a| a| a| a| a| a| a| a| a| a| a| a| d| a| a| d| d| a| a| a| a| a| d| d| d| a| a| d| d| a| a| a| d| d| a| a| a| d| d| d| d| a| a| d| d| d| d| d| a| a| a| d| d| a| a| d| d| d| a| d| a| d| d| a| d| a| d| a| a| d| d| a| a| a| d| a| d| d| a| a| d| d| d| d| a| a| a| d| a| d| d| a| d| d| d| d| a| a| a| a| a| a| d| a| a| d| d| a| a| d| d| a| d| d| a| d| a| d| d| a| d| d| d| d| a| d| d| d| a| d| a| a| a| d| d| d| d| d| a| a| d| d| d| a| d| d| a| d| d| a| a| a| a| a| a| d| a| d| a| a| d| d| d| a| d| d| d| a| d| a| d| a| a| a| d| d| a| a| d| a| d| a| d| a| d| d| d| a| d| a| d| d| a| d| a| d| d| a| a| a| a| a| d| d| d| d| d| a| a| d| a| a| a| a| d| a| a| d| a| a| a| a| a| a| d| a| a| d| d| d| 
a| a| a| a| d| d| a| d| a| d| a| d| a| d| d| d| d| a| d| a| a| d| d| d| a| d| a| d| a| d| d| d| a| a| d| a| a| a| d| a| d| a| a| a| a| a| a| a| a| d| d| d| d| a| d| a| a| d| a| d| d| a| a| a| d| a| a| d| d| a| a| d| d| d| d| a| d| a| a| a| a| a| a| a| d| a| d| d| a| a| d| a| d| a| a| a| d| d| a| a| a| d| a| a| d| a| d| d| a| a| a| d| a| d| d| a| d| d| a| a| d| d| a| d| a| d| a| d| d| d| a| a| d| d| d| a| d| d| a| a| d| a| a| a| a| a| d| a| d| d| a| d| d| d| d| a| d| d| a| d| d| d| a| a| a| a| d| a| a| a| d| a| d| a| d| d| a| a| a| a| a| d| a| a| d| a| d| d| a| d| d| d| d| a| a| a| d| a| d| d| d| d| a| a| d| d| a| a| a| d| d| d| a| a| a| a| d| a| d| d| a| d| d| d| d| a| a| d| d| d| d| d| d| d| a| d| d| d| a| a| a| a| a| d| d| d| a| a| a| a| a| a| d| a| a| d| d| d| d| d| d| a| d| a| a| d| a| a| d| a| d| a| d| a| a| a| a| a| d| d| d| a| a| d| d| d| d| d| a| a| d| a| d| d| d| a| d| d| d| a| a| d| d| a| a| d| d| d| a| d| d| a| a| d| d| a| d| d| a| a| a| a| a| a| d| a| d| d| a| d| a| d| d| d| d| a| d| d| a| a| a| d| d| d| d| d| d| d| a| a| d| d| a| a| d| a| d| d| a| d| a| a| d| a| a| d| a| a| a| d| d| d| d| d| d| d| a| d| a| d| d| a| d| a| d| d| d| d| a| a| d| d| d| a| a| a| a| d| d| d| a| d| d| a| a| a| d| d| a| a| d| a| d| d| d| d| a| d| d| d| d| a| d| d| d| a| d| a| d| d| d| a| a| d| d| d| a| d| d| a| a| d| d| a| d| a| a| a| a| d| a| a| a| a| d| a| a| d| d| a| d| d| d| a| a| d| a| d| a| a| a| d| a| d| d| d| a| a| a| d| a| a| d| d| d| d| a| a| d| d| d| d| d| d| d| a| a| a| d| d| a| a| d| d| a| d| d| d| d| d| a| a| 
